STD_CODE,STD_DESP
01,HALLOWEEN TOYS
02,CHRISTMAS TOYS
03,EASTER TOYS
04,VALENTINE TOYS
05,THANKSGIVING TOY
06,ST. PATRICK TOYS
07,CHANUKAH TOYS
10,PATRIOTIC ITEMS
08,TIKI/LUAU TOYS
09,GRADUATION TOYS
L01,ELVIS PRESLEY
L02,MARILYN MONROE
L03,SATURDAY NIGHT FEVER
L04,I LOVE LUCY
L05,GREASE
L06,GILLIGAN'S ISLAND
L07,SATURDAY NIGHT LIVE
L08,BOZO THE CLOWN
L09,LOST PUPPY
L10,PLAYBOY COSTUME
P01,HALLOWEEN PRODUCT
L11,R&R
11,SEASONAL BOA
L12,OLIVE OYL
L13,POPEYE
03-1,EASTER EGGS
12,HALLOWEEN PUMPKIN CARVING
